authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7334207327890833451~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=35e19b2a&x-expires=1763823600&x-signature=Y%2BhmqmXIo8meQdEGCncWBjypr8Q%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,pbsdigitalstudios,"Americans are spending how much on fast fashion!?! Not only is this hurting out wallets, it’s hurting our planet too 😓 #fashion #hm #shein #forever21 #thrift #earthmonth #environment #climatechange ",1597,436,43900,14,57,original sound,PBS Digital Studios,TRUE,2023-04-13T16:03:33.000Z,https://www.tiktok.com/@pbsdigitalstudios/video/7221565746197957934
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/08b2ed7e4560f25e519a8d78f1ca11d1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=9254eb01&x-expires=1763823600&x-signature=zefV4lfGxDoo9ssPZKi3kjRvvXU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,zerowastestore,"Fast fashion is killing the planet. The average American buys five times more clothing than they did in the 1980s. The fashion industry emits double the amount of greenhouse gases as the transportation industry and is the second largest consumer of water. 

The next time you fall for the latest microtrend or buy a cheap top to only wear once, consider the price on the planet first.

#sustainablefashion #shein #fastfashion #sustainableliving #watershortage #climatechange #ecofriendly ",3064,288,35600,47,33,original sound,ZeroWasteStore,TRUE,2025-03-23T23:18:28.000Z,https://www.tiktok.com/@zerowastestore/video/7485148191042833710
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7310706049961918507~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0a51b47d&x-expires=1763823600&x-signature=2glYVWPpR4%2FzXHODfIRYZ4ImQoA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,dannyrayes,The truth about fast fashion 😳,75200,10400,2800000,1277,37,original sound,Danny,TRUE,2023-06-01T17:29:40.000Z,https://www.tiktok.com/@dannyrayes/video/7239771125645872426
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/0c8aaaffe3533c7cbc309b3f28e63542~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0301105b&x-expires=1763823600&x-signature=12UeNBnSFQWtvxe%2FK2ZqfKuz%2Bbw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,moreperfectunion,"Fast fashion isn't just making all our clothes worse.

It's making a few brands, and their shareholders, extremely rich. The founder of Shein is now worth $21.5 billion.

Meanwhile we're stuck with shitty clothes with no pockets and textile landfills you can see from space. #labormovement #corporategreed #labor #fastfashion #fashion ",194100,21200,2100000,3049,1162,original sound,More Perfect Union,TRUE,2024-07-12T17:27:05.000Z,https://www.tiktok.com/@moreperfectunion/video/7390802129444900142
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/8d3c0fc0fb6862a2ca5fea7f978923bf~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=e2e6cd04&x-expires=1763823600&x-signature=%2FLqDQEfkq%2FSBSYwcQnkNRg0dqNs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,liyafanacc,"If you want items that are going to last you’re going to have to look for things that are well made !
#underconsumption #fastfashionsucks #vintagefashion #fyp #fashiontok ",710,29,7573,61,41,Gymnopedie No.1 [Piano famous song](204824),Kamimura Mahiro,FALSE,2025-10-07T19:49:21.000Z,https://www.tiktok.com/@liyafanacc/video/7558569277809282318
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/784c9ca49a1187cd824088cf71c1acf2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=c29d7aaa&x-expires=1763823600&x-signature=Tpfwu9PYl6WkkYrBMB8MNPfJtZQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,raba.shoes,"this beach is a victim of fast fashion. this is a video taken by RABA’s founder at a beach in Accra, Ghana. discarded and donated clothing from the US often ends up on beaches abroad. this is why at RABA we embrace sustainable practices. many of our shoes are from dead stock/reclaimed fabric. lets keep our Earth beautiful. 

#fypシ゚viral #sneakers #sneakerhead #africa #fashion #fastfashion #sustainablefashion #deadstock #vintage #sustainability #landfill #beach #fashiontiktok #earthyblackgirl #blackfashion #designer #textiles #blackcreatives #shoes #streetwear #nyc #africanprint #kente #mudcloth #ghana #congo #burkinafaso ",205000,7611,1000000,1938,12,Killswitch Lullaby,Flawed Mangoes,FALSE,2024-07-10T15:54:24.000Z,https://www.tiktok.com/@raba.shoes/video/7390036006508039455
https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/073c7b3737242620d86afe2c73dbd051~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=6049a9c8&x-expires=1763823600&x-signature=t0oUy3vQlRAq56W3aNvm8aZkNtA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,mavijuana,Everything in the mall is giving me the ick bc what is this shii. And did you know 3 out of 5 fast fashion items are going to be thrown away within a year?! #fastfashion #shein #fastfashionsucks #cheapclothes #polyester,874,2,24700,8,7,original sound,Mav🔻,TRUE,2025-10-27T15:48:02.000Z,https://www.tiktok.com/@mavijuana/video/7565928653645712653
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2a5b96b52c8b4318c2d606904a281b1d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=be51c4a6&x-expires=1763823600&x-signature=rv7nTyJJYlLXyg3fmjOnVH5Ynw8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,losthollywoodvintage,"Shein produces over 70% of its clothing from synthetic fibers. Aka plastic. 

Plastic and Polyester causes fertility issues and  can take up to 200 years to decompose in a landfill. 

Investigators have discovered that SHEIN workers work 75-80 hrs a week with time to possibly wash their hair during a break and earning as little as $2 an hour. 

Despite all of this: the company raked in about $66 Billion in 2023

☠️ It has 20x more lead than what is considered safe and you need a heavy metal detox. 
Symptoms of lead exposer include: 
- headaches
- Abdominal pain 
- High blood pressure 
- Muscle and joint pain
- Memory loss 
- Anemia 
- Kidney and brain damage 
- Mood disorders 
- Miscarriages
- Low IQ 
- Premature Growth and more 

Oh! And they STEAL FROM SMALL BUSINESS OWNERS!! 

#sheinboycott #stopbuyingshein #shopsmall #educateyourself #fastfashionsucks #stopbuyinyfastfashion",328,33,70600,28,11,original sound,losthollywoodvintage,TRUE,2025-04-08T01:16:15.000Z,https://www.tiktok.com/@losthollywoodvintage/video/7490744863722376491
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7310324376136581163~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=6010acf0&x-expires=1763823600&x-signature=xOSa39zyLwDopTwteM%2BNru8zkpM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,livekindly,"It’s like some of these fast fashion brands specifically design products to go directly to the landfill. 😩 Mass produced fashion is so wasteful and detrimental to our planet! How do you like to shop more sustainably on a budget?

#forever21 #fastfashion #antihaul #deinfluencing #slowfashion #sustainablefashion #shein #sheinsucks #sustainability #thrifting #secondhand #CapCut ",71900,224,1100000,293,21,original sound,LIVEKINDLY,TRUE,2023-06-09T01:25:11.000Z,https://www.tiktok.com/@livekindly/video/7242491236740009262
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/ceb053ec4e1fd7cecc9d528b0dac1107~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d540c833&x-expires=1763823600&x-signature=MqFDg2HAww17DSzWUW1WrJ5ND0I%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,teomarcella,"fast fashion as a whole obviously has its issues, but shein is on a whole other level of overproduction ",49000,1897,393200,169,14,original sound,teo marcella,TRUE,2025-11-06T22:35:56.000Z,https://www.tiktok.com/@teomarcella/video/7569744769308511518
